stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6752,0.0203
0.0,conformal_risk_filter,0.7057,0.0101
0.0,proposed_branch_mechanism,0.7776,0.0118
0.0,oracle_branch_upper_bound,0.8336,0.0103
0.2,scalar_uncertainty_planner,0.6226,0.0204
0.2,conformal_risk_filter,0.6610,0.0155
0.2,proposed_branch_mechanism,0.7488,0.0152
0.2,oracle_branch_upper_bound,0.8119,0.0119
0.4,scalar_uncertainty_planner,0.5683,0.0169
0.4,conformal_risk_filter,0.6152,0.0116
0.4,proposed_branch_mechanism,0.7148,0.0160
0.4,oracle_branch_upper_bound,0.7936,0.0106
0.6,scalar_uncertainty_planner,0.5157,0.0108
0.6,conformal_risk_filter,0.5707,0.0134
0.6,proposed_branch_mechanism,0.6845,0.0147
0.6,oracle_branch_upper_bound,0.7743,0.0116
0.8,scalar_uncertainty_planner,0.4624,0.0089
0.8,conformal_risk_filter,0.5226,0.0140
0.8,proposed_branch_mechanism,0.6507,0.0122
0.8,oracle_branch_upper_bound,0.7552,0.0117
1.0,scalar_uncertainty_planner,0.4031,0.0104
1.0,conformal_risk_filter,0.4774,0.0107
1.0,proposed_branch_mechanism,0.6198,0.0160
1.0,oracle_branch_upper_bound,0.7362,0.0124
