split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,effort_mean,effort_ci95,shield_activation_rate,no_feasible_rate
actuation_noise,cvar_branch_score,96,0.1875,0.0785,0.1381,0.0137,0.0833,0.0556,0.0613,0.0202,0.3951,0.0153,0.0625,0.0000
actuation_noise,deep_sets_energy_scorer,96,0.2500,0.0871,0.1157,0.0124,0.1979,0.0801,0.0757,0.0236,0.3993,0.0191,0.0000,0.0000
actuation_noise,geometric_greedy,96,0.0000,0.0000,0.2265,0.0112,0.3958,0.0983,0.2518,0.0307,0.4650,0.0161,0.0000,0.0000
actuation_noise,mlp_energy_scorer,96,0.2396,0.0858,0.1211,0.0131,0.1250,0.0665,0.0580,0.0196,0.4054,0.0200,0.0000,0.0000
actuation_noise,nominal_rollout_mpc,96,0.2188,0.0831,0.1239,0.0137,0.2708,0.0894,0.1092,0.0278,0.4649,0.0275,0.0000,0.0000
actuation_noise,oracle_mujoco_rollout_selector,96,0.3854,0.0979,0.1011,0.0113,0.0000,0.0000,0.0000,0.0000,0.4740,0.0250,0.0000,0.0000
actuation_noise,random_candidate,96,0.0104,0.0204,0.2729,0.0228,0.4375,0.0998,0.3118,0.0379,0.4740,0.0239,0.0000,0.0000
actuation_noise,rc_ret_energy_scorer_v5,96,0.1979,0.0801,0.1357,0.0133,0.0833,0.0556,0.0591,0.0196,0.4003,0.0159,0.0938,0.0000
actuation_noise,rc_ret_no_shield,96,0.2083,0.0817,0.1317,0.0133,0.1042,0.0614,0.0618,0.0210,0.4024,0.0170,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,96,0.1979,0.0801,0.1345,0.0137,0.0938,0.0586,0.0610,0.0209,0.3910,0.0144,0.0000,0.0000
actuation_noise,set_transformer_energy_scorer_v4,96,0.2604,0.0883,0.1140,0.0127,0.1771,0.0768,0.0674,0.0219,0.4002,0.0169,0.0000,0.0000
actuation_noise,shielded_mlp_energy_scorer,96,0.2083,0.0817,0.1349,0.0141,0.0938,0.0586,0.0619,0.0210,0.4096,0.0186,0.1354,0.0000
combined_shift,cvar_branch_score,96,0.1354,0.0688,0.1658,0.0173,0.0417,0.0402,0.0628,0.0155,0.4284,0.0142,0.0625,0.0000
combined_shift,deep_sets_energy_scorer,96,0.1354,0.0688,0.1594,0.0171,0.1146,0.0641,0.0804,0.0213,0.4526,0.0204,0.0000,0.0000
combined_shift,geometric_greedy,96,0.0104,0.0204,0.2759,0.0144,0.3125,0.0932,0.2628,0.0301,0.5350,0.0145,0.0000,0.0000
combined_shift,mlp_energy_scorer,96,0.1042,0.0614,0.1659,0.0173,0.1146,0.0641,0.0874,0.0215,0.4682,0.0248,0.0000,0.0000
combined_shift,nominal_rollout_mpc,96,0.1354,0.0688,0.1591,0.0167,0.1771,0.0768,0.1017,0.0275,0.5058,0.0296,0.0000,0.0000
combined_shift,oracle_mujoco_rollout_selector,96,0.3229,0.0940,0.1145,0.0132,0.0000,0.0000,0.0000,0.0000,0.4894,0.0231,0.0000,0.0000
combined_shift,random_candidate,96,0.0000,0.0000,0.3412,0.0305,0.3021,0.0923,0.3251,0.0363,0.5483,0.0257,0.0000,0.0000
combined_shift,rc_ret_energy_scorer_v5,96,0.1354,0.0688,0.1643,0.0166,0.0417,0.0402,0.0617,0.0153,0.4401,0.0174,0.0521,0.0000
combined_shift,rc_ret_no_shield,96,0.1354,0.0688,0.1619,0.0164,0.0625,0.0487,0.0658,0.0172,0.4368,0.0162,0.0000,0.0000
combined_shift,robust_worst_case_mpc,96,0.1354,0.0688,0.1636,0.0171,0.0625,0.0487,0.0672,0.0173,0.4261,0.0139,0.0000,0.0000
combined_shift,set_transformer_energy_scorer_v4,96,0.1250,0.0665,0.1595,0.0167,0.1146,0.0641,0.0809,0.0212,0.4612,0.0232,0.0000,0.0000
combined_shift,shielded_mlp_energy_scorer,96,0.1146,0.0641,0.1743,0.0178,0.0521,0.0447,0.0763,0.0175,0.4835,0.0267,0.1250,0.0000
far_target,cvar_branch_score,96,0.1042,0.0614,0.1553,0.0163,0.0104,0.0204,0.0495,0.0160,0.4824,0.0125,0.0104,0.0000
far_target,deep_sets_energy_scorer,96,0.1771,0.0768,0.1302,0.0151,0.0312,0.0350,0.0323,0.0139,0.5241,0.0233,0.0000,0.0000
far_target,geometric_greedy,96,0.0000,0.0000,0.2937,0.0147,0.3750,0.0974,0.3088,0.0303,0.6246,0.0098,0.0000,0.0000
far_target,mlp_energy_scorer,96,0.1562,0.0730,0.1328,0.0150,0.0312,0.0350,0.0355,0.0152,0.5463,0.0253,0.0000,0.0000
far_target,nominal_rollout_mpc,96,0.1979,0.0801,0.1328,0.0163,0.1250,0.0665,0.0670,0.0215,0.5933,0.0277,0.0000,0.0000
far_target,oracle_mujoco_rollout_selector,96,0.3229,0.0940,0.1066,0.0114,0.0000,0.0000,0.0000,0.0000,0.5692,0.0271,0.0000,0.0000
far_target,random_candidate,96,0.0104,0.0204,0.3833,0.0314,0.3542,0.0962,0.3915,0.0400,0.6162,0.0254,0.0000,0.0000
far_target,rc_ret_energy_scorer_v5,96,0.1042,0.0614,0.1547,0.0159,0.0000,0.0000,0.0457,0.0135,0.4877,0.0139,0.0208,0.0000
far_target,rc_ret_no_shield,96,0.1250,0.0665,0.1514,0.0160,0.0000,0.0000,0.0424,0.0130,0.4876,0.0139,0.0000,0.0000
far_target,robust_worst_case_mpc,96,0.1146,0.0641,0.1554,0.0163,0.0000,0.0000,0.0462,0.0141,0.4815,0.0123,0.0000,0.0000
far_target,set_transformer_energy_scorer_v4,96,0.1771,0.0768,0.1271,0.0150,0.0625,0.0487,0.0390,0.0171,0.5178,0.0225,0.0000,0.0000
far_target,shielded_mlp_energy_scorer,96,0.1146,0.0641,0.1433,0.0150,0.0312,0.0350,0.0462,0.0165,0.5514,0.0261,0.1458,0.0000
heavy_object,cvar_branch_score,96,0.2812,0.0904,0.1164,0.0103,0.0104,0.0204,0.0228,0.0097,0.3753,0.0135,0.0521,0.0000
heavy_object,deep_sets_energy_scorer,96,0.3438,0.0955,0.1011,0.0107,0.1250,0.0665,0.0443,0.0196,0.3820,0.0161,0.0000,0.0000
heavy_object,geometric_greedy,96,0.0000,0.0000,0.2048,0.0084,0.4062,0.0988,0.2393,0.0302,0.4247,0.0140,0.0000,0.0000
heavy_object,mlp_energy_scorer,96,0.3125,0.0932,0.1086,0.0103,0.0417,0.0402,0.0251,0.0112,0.3805,0.0147,0.0000,0.0000
heavy_object,nominal_rollout_mpc,96,0.3125,0.0932,0.1077,0.0108,0.1458,0.0710,0.0593,0.0218,0.4370,0.0207,0.0000,0.0000
heavy_object,oracle_mujoco_rollout_selector,96,0.3750,0.0974,0.0963,0.0087,0.0000,0.0000,0.0000,0.0000,0.3960,0.0178,0.0000,0.0000
heavy_object,random_candidate,96,0.0000,0.0000,0.2362,0.0189,0.5208,0.1005,0.3083,0.0347,0.4535,0.0183,0.0000,0.0000
heavy_object,rc_ret_energy_scorer_v5,96,0.2812,0.0904,0.1195,0.0109,0.0208,0.0287,0.0289,0.0121,0.3633,0.0092,0.0521,0.0000
heavy_object,rc_ret_no_shield,96,0.2917,0.0914,0.1172,0.0103,0.0312,0.0350,0.0299,0.0132,0.3649,0.0096,0.0000,0.0000
heavy_object,robust_worst_case_mpc,96,0.2917,0.0914,0.1163,0.0102,0.0208,0.0287,0.0258,0.0104,0.3670,0.0111,0.0000,0.0000
heavy_object,set_transformer_energy_scorer_v4,96,0.3333,0.0948,0.1043,0.0106,0.1146,0.0641,0.0440,0.0183,0.3746,0.0141,0.0000,0.0000
heavy_object,shielded_mlp_energy_scorer,96,0.2812,0.0904,0.1163,0.0106,0.0000,0.0000,0.0198,0.0066,0.3908,0.0170,0.1042,0.0000
high_friction,cvar_branch_score,96,0.2083,0.0817,0.1300,0.0116,0.0312,0.0350,0.0276,0.0114,0.3743,0.0117,0.0625,0.0000
high_friction,deep_sets_energy_scorer,96,0.2292,0.0845,0.1245,0.0122,0.1146,0.0641,0.0495,0.0191,0.3962,0.0176,0.0000,0.0000
high_friction,geometric_greedy,96,0.0000,0.0000,0.2460,0.0079,0.1979,0.0801,0.1994,0.0237,0.4560,0.0136,0.0000,0.0000
high_friction,mlp_energy_scorer,96,0.2083,0.0817,0.1312,0.0120,0.0625,0.0487,0.0397,0.0158,0.4031,0.0194,0.0000,0.0000
high_friction,nominal_rollout_mpc,96,0.2083,0.0817,0.1377,0.0134,0.1667,0.0749,0.0815,0.0228,0.4693,0.0234,0.0000,0.0000
high_friction,oracle_mujoco_rollout_selector,96,0.2708,0.0894,0.1122,0.0100,0.0000,0.0000,0.0000,0.0000,0.3814,0.0128,0.0000,0.0000
high_friction,random_candidate,96,0.0104,0.0204,0.2730,0.0197,0.3750,0.0974,0.2833,0.0341,0.4628,0.0197,0.0000,0.0000
high_friction,rc_ret_energy_scorer_v5,96,0.2083,0.0817,0.1348,0.0127,0.0312,0.0350,0.0327,0.0122,0.3826,0.0130,0.0625,0.0000
high_friction,rc_ret_no_shield,96,0.2188,0.0831,0.1324,0.0122,0.0521,0.0447,0.0371,0.0140,0.3862,0.0131,0.0000,0.0000
high_friction,robust_worst_case_mpc,96,0.2188,0.0831,0.1263,0.0111,0.0521,0.0447,0.0306,0.0132,0.3722,0.0104,0.0000,0.0000
high_friction,set_transformer_energy_scorer_v4,96,0.2396,0.0858,0.1230,0.0118,0.1042,0.0614,0.0448,0.0194,0.4022,0.0173,0.0000,0.0000
high_friction,shielded_mlp_energy_scorer,96,0.1979,0.0801,0.1370,0.0126,0.0312,0.0350,0.0356,0.0124,0.4067,0.0206,0.0938,0.0000
light_object,cvar_branch_score,96,0.1771,0.0768,0.1371,0.0122,0.0000,0.0000,0.0398,0.0110,0.3928,0.0132,0.0312,0.0000
light_object,deep_sets_energy_scorer,96,0.2500,0.0871,0.1082,0.0098,0.0833,0.0556,0.0386,0.0159,0.4306,0.0214,0.0000,0.0000
light_object,geometric_greedy,96,0.0104,0.0204,0.2132,0.0119,0.5104,0.1005,0.2812,0.0315,0.4611,0.0159,0.0000,0.0000
light_object,mlp_energy_scorer,96,0.2292,0.0845,0.1187,0.0105,0.0312,0.0350,0.0323,0.0116,0.4243,0.0223,0.0000,0.0000
light_object,nominal_rollout_mpc,96,0.1979,0.0801,0.1082,0.0096,0.1771,0.0768,0.0697,0.0232,0.4657,0.0248,0.0000,0.0000
light_object,oracle_mujoco_rollout_selector,96,0.4167,0.0991,0.0949,0.0092,0.0000,0.0000,0.0000,0.0000,0.4764,0.0237,0.0000,0.0000
light_object,random_candidate,96,0.0104,0.0204,0.2773,0.0278,0.3854,0.0979,0.3059,0.0386,0.4819,0.0227,0.0000,0.0000
light_object,rc_ret_energy_scorer_v5,96,0.1771,0.0768,0.1382,0.0118,0.0104,0.0204,0.0440,0.0115,0.3858,0.0092,0.0833,0.0000
light_object,rc_ret_no_shield,96,0.1771,0.0768,0.1344,0.0115,0.0104,0.0204,0.0402,0.0112,0.3867,0.0100,0.0000,0.0000
light_object,robust_worst_case_mpc,96,0.1771,0.0768,0.1374,0.0123,0.0000,0.0000,0.0399,0.0110,0.3881,0.0113,0.0000,0.0000
light_object,set_transformer_energy_scorer_v4,96,0.2604,0.0883,0.1137,0.0111,0.0521,0.0447,0.0334,0.0137,0.4055,0.0160,0.0000,0.0000
light_object,shielded_mlp_energy_scorer,96,0.2083,0.0817,0.1242,0.0105,0.0104,0.0204,0.0314,0.0102,0.4335,0.0230,0.1042,0.0000
low_friction,cvar_branch_score,96,0.0833,0.0556,0.1521,0.0100,0.0104,0.0204,0.0681,0.0099,0.3865,0.0138,0.0938,0.0000
low_friction,deep_sets_energy_scorer,96,0.1771,0.0768,0.1216,0.0101,0.1354,0.0688,0.0784,0.0209,0.4130,0.0203,0.0000,0.0000
low_friction,geometric_greedy,96,0.0000,0.0000,0.1938,0.0129,0.5312,0.1003,0.2785,0.0287,0.4564,0.0124,0.0000,0.0000
low_friction,mlp_energy_scorer,96,0.1458,0.0710,0.1325,0.0103,0.0208,0.0287,0.0524,0.0108,0.4076,0.0197,0.0000,0.0000
low_friction,nominal_rollout_mpc,96,0.1667,0.0749,0.1177,0.0104,0.2292,0.0845,0.1060,0.0245,0.4652,0.0244,0.0000,0.0000
low_friction,oracle_mujoco_rollout_selector,96,0.5104,0.1005,0.0853,0.0089,0.0000,0.0000,0.0000,0.0000,0.4556,0.0154,0.0000,0.0000
low_friction,random_candidate,96,0.0208,0.0287,0.2883,0.0284,0.3542,0.0962,0.3169,0.0346,0.4743,0.0200,0.0000,0.0000
low_friction,rc_ret_energy_scorer_v5,96,0.0833,0.0556,0.1449,0.0089,0.0104,0.0204,0.0610,0.0095,0.3901,0.0143,0.0938,0.0000
low_friction,rc_ret_no_shield,96,0.0833,0.0556,0.1416,0.0089,0.0208,0.0287,0.0610,0.0108,0.3874,0.0131,0.0000,0.0000
low_friction,robust_worst_case_mpc,96,0.0833,0.0556,0.1471,0.0100,0.0208,0.0287,0.0662,0.0111,0.3789,0.0119,0.0000,0.0000
low_friction,set_transformer_energy_scorer_v4,96,0.1771,0.0768,0.1269,0.0107,0.0521,0.0447,0.0565,0.0153,0.3951,0.0157,0.0000,0.0000
low_friction,shielded_mlp_energy_scorer,96,0.1146,0.0641,0.1412,0.0105,0.0104,0.0204,0.0585,0.0092,0.4294,0.0210,0.1562,0.0000
narrow_clearance,cvar_branch_score,96,0.0000,0.0000,0.1968,0.0090,0.0312,0.0350,0.0346,0.0126,0.4449,0.0211,0.0729,0.0000
narrow_clearance,deep_sets_energy_scorer,96,0.0312,0.0350,0.1765,0.0121,0.1354,0.0688,0.0474,0.0168,0.4326,0.0190,0.0000,0.0000
narrow_clearance,geometric_greedy,96,0.0000,0.0000,0.2466,0.0082,0.5833,0.0991,0.2618,0.0338,0.4688,0.0167,0.0000,0.0000
narrow_clearance,mlp_energy_scorer,96,0.0208,0.0287,0.1888,0.0100,0.0833,0.0556,0.0434,0.0170,0.4468,0.0203,0.0000,0.0000
narrow_clearance,nominal_rollout_mpc,96,0.0208,0.0287,0.1786,0.0094,0.2396,0.0858,0.0858,0.0260,0.5319,0.0254,0.0000,0.0000
narrow_clearance,oracle_mujoco_rollout_selector,96,0.0312,0.0350,0.1707,0.0079,0.0000,0.0000,0.0000,0.0000,0.4931,0.0242,0.0000,0.0000
narrow_clearance,random_candidate,96,0.0000,0.0000,0.2932,0.0199,0.4792,0.1005,0.2756,0.0285,0.4857,0.0201,0.0000,0.0000
