split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,effort_mean,effort_ci95,shield_activation_rate,no_feasible_rate
narrow_clearance,rc_ret_energy_scorer_v5,96,0.0000,0.0000,0.2048,0.0100,0.0417,0.0402,0.0456,0.0143,0.4329,0.0182,0.0625,0.0000
narrow_clearance,rc_ret_no_shield,96,0.0104,0.0204,0.2012,0.0103,0.0417,0.0402,0.0418,0.0137,0.4259,0.0169,0.0000,0.0000
narrow_clearance,robust_worst_case_mpc,96,0.0104,0.0204,0.2013,0.0106,0.0312,0.0350,0.0386,0.0125,0.4243,0.0183,0.0000,0.0000
narrow_clearance,set_transformer_energy_scorer_v4,96,0.0312,0.0350,0.1757,0.0116,0.1458,0.0710,0.0496,0.0186,0.4258,0.0184,0.0000,0.0000
narrow_clearance,shielded_mlp_energy_scorer,96,0.0000,0.0000,0.1961,0.0088,0.0521,0.0447,0.0411,0.0151,0.4571,0.0217,0.1354,0.0000
nominal,cvar_branch_score,96,0.2604,0.0883,0.1268,0.0122,0.0000,0.0000,0.0288,0.0076,0.3757,0.0105,0.0521,0.0000
nominal,deep_sets_energy_scorer,96,0.2917,0.0914,0.1020,0.0100,0.0729,0.0523,0.0283,0.0134,0.4059,0.0194,0.0000,0.0000
nominal,geometric_greedy,96,0.0000,0.0000,0.2223,0.0088,0.3542,0.0962,0.2400,0.0309,0.4527,0.0128,0.0000,0.0000
nominal,mlp_energy_scorer,96,0.2604,0.0883,0.1070,0.0099,0.0521,0.0447,0.0266,0.0116,0.4062,0.0204,0.0000,0.0000
nominal,nominal_rollout_mpc,96,0.3229,0.0940,0.0989,0.0090,0.0625,0.0487,0.0229,0.0133,0.4407,0.0239,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,96,0.3438,0.0955,0.0950,0.0088,0.0000,0.0000,0.0000,0.0000,0.4726,0.0246,0.0000,0.0000
nominal,random_candidate,96,0.0000,0.0000,0.2649,0.0201,0.4167,0.0991,0.3028,0.0347,0.4581,0.0194,0.0000,0.0000
nominal,rc_ret_energy_scorer_v5,96,0.2604,0.0883,0.1256,0.0123,0.0000,0.0000,0.0277,0.0073,0.3802,0.0109,0.0625,0.0000
nominal,rc_ret_no_shield,96,0.2708,0.0894,0.1224,0.0119,0.0104,0.0204,0.0280,0.0084,0.3827,0.0115,0.0000,0.0000
nominal,robust_worst_case_mpc,96,0.2604,0.0883,0.1255,0.0122,0.0104,0.0204,0.0308,0.0089,0.3725,0.0094,0.0000,0.0000
nominal,set_transformer_energy_scorer_v4,96,0.2708,0.0894,0.1068,0.0106,0.0729,0.0523,0.0327,0.0137,0.3939,0.0170,0.0000,0.0000
nominal,shielded_mlp_energy_scorer,96,0.2292,0.0845,0.1191,0.0104,0.0000,0.0000,0.0226,0.0061,0.4257,0.0224,0.1771,0.0000
obstacle_shift,cvar_branch_score,96,0.3750,0.0974,0.1214,0.0137,0.0000,0.0000,0.0295,0.0083,0.3870,0.0126,0.0312,0.0000
obstacle_shift,deep_sets_energy_scorer,96,0.3750,0.0974,0.1095,0.0117,0.0417,0.0402,0.0321,0.0154,0.4220,0.0210,0.0000,0.0000
obstacle_shift,geometric_greedy,96,0.0000,0.0000,0.2230,0.0098,0.3021,0.0923,0.2300,0.0297,0.4624,0.0153,0.0000,0.0000
obstacle_shift,mlp_energy_scorer,96,0.3854,0.0979,0.1119,0.0117,0.0104,0.0204,0.0242,0.0088,0.4169,0.0205,0.0000,0.0000
obstacle_shift,nominal_rollout_mpc,96,0.3021,0.0923,0.1090,0.0106,0.0417,0.0402,0.0327,0.0160,0.4597,0.0244,0.0000,0.0000
obstacle_shift,oracle_mujoco_rollout_selector,96,0.4583,0.1002,0.0899,0.0105,0.0000,0.0000,0.0000,0.0000,0.4537,0.0221,0.0000,0.0000
obstacle_shift,random_candidate,96,0.0104,0.0204,0.2620,0.0219,0.3958,0.0983,0.2995,0.0349,0.4775,0.0181,0.0000,0.0000
obstacle_shift,rc_ret_energy_scorer_v5,96,0.3750,0.0974,0.1226,0.0141,0.0000,0.0000,0.0308,0.0085,0.3863,0.0117,0.0417,0.0000
obstacle_shift,rc_ret_no_shield,96,0.3750,0.0974,0.1210,0.0137,0.0000,0.0000,0.0292,0.0083,0.3866,0.0118,0.0000,0.0000
obstacle_shift,robust_worst_case_mpc,96,0.3750,0.0974,0.1190,0.0132,0.0000,0.0000,0.0271,0.0075,0.3852,0.0141,0.0000,0.0000
obstacle_shift,set_transformer_energy_scorer_v4,96,0.3750,0.0974,0.1075,0.0116,0.0208,0.0287,0.0228,0.0089,0.4043,0.0173,0.0000,0.0000
obstacle_shift,shielded_mlp_energy_scorer,96,0.3854,0.0979,0.1154,0.0128,0.0000,0.0000,0.0243,0.0072,0.4135,0.0195,0.0833,0.0000
