split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95
combined_shift,geometric_greedy,0,16,0.0625,0.1225,0.2763,0.0586,0.0000,0.0000,0.1472,0.0561
combined_shift,geometric_greedy,1,16,0.0000,0.0000,0.2416,0.0518,0.0000,0.0000,0.1526,0.0425
combined_shift,geometric_greedy,2,16,0.0625,0.1225,0.2377,0.0419,0.0000,0.0000,0.1282,0.0459
combined_shift,geometric_greedy,3,16,0.0625,0.1225,0.2395,0.0531,0.0000,0.0000,0.1428,0.0475
combined_shift,geometric_greedy,4,16,0.0625,0.1225,0.2527,0.0604,0.0000,0.0000,0.1505,0.0456
combined_shift,mlp_energy_scorer,0,16,0.2500,0.2191,0.1452,0.0367,0.0000,0.0000,0.0132,0.0184
combined_shift,mlp_energy_scorer,1,16,0.5625,0.2511,0.1011,0.0364,0.0000,0.0000,0.0092,0.0072
combined_shift,mlp_energy_scorer,2,16,0.3750,0.2450,0.1378,0.0457,0.0000,0.0000,0.0256,0.0216
combined_shift,mlp_energy_scorer,3,16,0.4375,0.2511,0.1132,0.0343,0.0625,0.1225,0.0325,0.0406
combined_shift,mlp_energy_scorer,4,16,0.5000,0.2530,0.1215,0.0371,0.1250,0.1674,0.0538,0.0392
combined_shift,nominal_rollout_mpc,0,16,0.2500,0.2191,0.1320,0.0368,0.1250,0.1674,0.0375,0.0369
combined_shift,nominal_rollout_mpc,1,16,0.5625,0.2511,0.0943,0.0341,0.0625,0.1225,0.0213,0.0286
combined_shift,nominal_rollout_mpc,2,16,0.3750,0.2450,0.1308,0.0473,0.0000,0.0000,0.0186,0.0189
combined_shift,nominal_rollout_mpc,3,16,0.4375,0.2511,0.0976,0.0244,0.1250,0.1674,0.0355,0.0416
combined_shift,nominal_rollout_mpc,4,16,0.4375,0.2511,0.1053,0.0297,0.3125,0.2346,0.0942,0.0603
combined_shift,oracle_mujoco_rollout_selector,0,16,0.3125,0.2346,0.1319,0.0326,0.0000,0.0000,0.0000,0.0000
combined_shift,oracle_mujoco_rollout_selector,1,16,0.5625,0.2511,0.0919,0.0333,0.0000,0.0000,0.0000,0.0000
combined_shift,oracle_mujoco_rollout_selector,2,16,0.5000,0.2530,0.1121,0.0433,0.0000,0.0000,0.0000,0.0000
combined_shift,oracle_mujoco_rollout_selector,3,16,0.4375,0.2511,0.0996,0.0307,0.0000,0.0000,0.0000,0.0000
combined_shift,oracle_mujoco_rollout_selector,4,16,0.5625,0.2511,0.0864,0.0341,0.0625,0.1225,0.0000,0.0000
combined_shift,random_candidate,0,16,0.1250,0.1674,0.2430,0.0688,0.3750,0.2450,0.2246,0.0912
combined_shift,random_candidate,1,16,0.1250,0.1674,0.2604,0.0868,0.1250,0.1674,0.2084,0.0652
combined_shift,random_candidate,2,16,0.0625,0.1225,0.2418,0.0609,0.3125,0.2346,0.2248,0.0872
combined_shift,random_candidate,3,16,0.0625,0.1225,0.2303,0.0673,0.5625,0.2511,0.3013,0.0962
combined_shift,random_candidate,4,16,0.1250,0.1674,0.2647,0.0891,0.3125,0.2346,0.2550,0.0819
combined_shift,robust_worst_case_mpc,0,16,0.2500,0.2191,0.1498,0.0372,0.0000,0.0000,0.0178,0.0188
combined_shift,robust_worst_case_mpc,1,16,0.5625,0.2511,0.0972,0.0349,0.0000,0.0000,0.0053,0.0053
combined_shift,robust_worst_case_mpc,2,16,0.3750,0.2450,0.1308,0.0473,0.0000,0.0000,0.0186,0.0189
combined_shift,robust_worst_case_mpc,3,16,0.4375,0.2511,0.1091,0.0326,0.0625,0.1225,0.0283,0.0405
combined_shift,robust_worst_case_mpc,4,16,0.4375,0.2511,0.1325,0.0420,0.1250,0.1674,0.0648,0.0441
combined_shift,transformer_energy_scorer,0,16,0.2500,0.2191,0.1442,0.0351,0.0625,0.1225,0.0310,0.0349
combined_shift,transformer_energy_scorer,1,16,0.5625,0.2511,0.0986,0.0348,0.0000,0.0000,0.0068,0.0057
combined_shift,transformer_energy_scorer,2,16,0.3750,0.2450,0.1317,0.0474,0.0000,0.0000,0.0196,0.0187
combined_shift,transformer_energy_scorer,3,16,0.4375,0.2511,0.0975,0.0244,0.1250,0.1674,0.0355,0.0416
combined_shift,transformer_energy_scorer,4,16,0.4375,0.2511,0.1195,0.0379,0.1875,0.1975,0.0705,0.0485
heavy_object,geometric_greedy,0,16,0.0000,0.0000,0.1884,0.0146,0.0000,0.0000,0.0544,0.0327
heavy_object,geometric_greedy,1,16,0.0000,0.0000,0.2321,0.0265,0.0000,0.0000,0.0945,0.0395
heavy_object,geometric_greedy,2,16,0.0000,0.0000,0.2095,0.0275,0.0000,0.0000,0.0456,0.0293
heavy_object,geometric_greedy,3,16,0.0000,0.0000,0.2148,0.0291,0.0000,0.0000,0.0863,0.0346
heavy_object,geometric_greedy,4,16,0.0000,0.0000,0.1923,0.0282,0.1250,0.1674,0.0937,0.0815
heavy_object,mlp_energy_scorer,0,16,0.1875,0.1975,0.1379,0.0266,0.0000,0.0000,0.0027,0.0053
heavy_object,mlp_energy_scorer,1,16,0.0625,0.1225,0.1484,0.0235,0.0000,0.0000,0.0091,0.0105
heavy_object,mlp_energy_scorer,2,16,0.0625,0.1225,0.1587,0.0357,0.0625,0.1225,0.0127,0.0220
heavy_object,mlp_energy_scorer,3,16,0.0625,0.1225,0.1406,0.0195,0.0625,0.1225,0.0296,0.0335
heavy_object,mlp_energy_scorer,4,16,0.1250,0.1674,0.1518,0.0291,0.0000,0.0000,0.0147,0.0139
heavy_object,nominal_rollout_mpc,0,16,0.1875,0.1975,0.1339,0.0262,0.0625,0.1225,0.0174,0.0342
heavy_object,nominal_rollout_mpc,1,16,0.1250,0.1674,0.1393,0.0268,0.0000,0.0000,0.0000,0.0000
heavy_object,nominal_rollout_mpc,2,16,0.0625,0.1225,0.1541,0.0360,0.1250,0.1674,0.0269,0.0366
heavy_object,nominal_rollout_mpc,3,16,0.0625,0.1225,0.1316,0.0329,0.2500,0.2191,0.0770,0.0583
heavy_object,nominal_rollout_mpc,4,16,0.2500,0.2191,0.1323,0.0319,0.0625,0.1225,0.0142,0.0278
heavy_object,oracle_mujoco_rollout_selector,0,16,0.1875,0.1975,0.1353,0.0260,0.0000,0.0000,0.0000,0.0000
heavy_object,oracle_mujoco_rollout_selector,1,16,0.1250,0.1674,0.1393,0.0268,0.0000,0.0000,0.0000,0.0000
heavy_object,oracle_mujoco_rollout_selector,2,16,0.0625,0.1225,0.1645,0.0332,0.0000,0.0000,0.0000,0.0000
heavy_object,oracle_mujoco_rollout_selector,3,16,0.2500,0.2191,0.1298,0.0256,0.0000,0.0000,0.0000,0.0000
heavy_object,oracle_mujoco_rollout_selector,4,16,0.2500,0.2191,0.1369,0.0335,0.0000,0.0000,0.0000,0.0000
heavy_object,random_candidate,0,16,0.0625,0.1225,0.1806,0.0444,0.7500,0.2191,0.2721,0.0683
heavy_object,random_candidate,1,16,0.0625,0.1225,0.2144,0.0465,0.5625,0.2511,0.2457,0.0889
heavy_object,random_candidate,2,16,0.0000,0.0000,0.2077,0.0619,0.5625,0.2511,0.2134,0.0699
