split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95
heavy_object,random_candidate,3,16,0.0000,0.0000,0.2104,0.0436,0.5000,0.2530,0.2320,0.0779
heavy_object,random_candidate,4,16,0.1250,0.1674,0.2054,0.0581,0.5000,0.2530,0.2196,0.0702
heavy_object,robust_worst_case_mpc,0,16,0.1875,0.1975,0.1382,0.0275,0.0000,0.0000,0.0029,0.0058
heavy_object,robust_worst_case_mpc,1,16,0.0625,0.1225,0.1464,0.0241,0.0000,0.0000,0.0072,0.0084
heavy_object,robust_worst_case_mpc,2,16,0.0625,0.1225,0.1660,0.0335,0.0000,0.0000,0.0013,0.0025
heavy_object,robust_worst_case_mpc,3,16,0.1875,0.1975,0.1345,0.0237,0.0625,0.1225,0.0235,0.0339
heavy_object,robust_worst_case_mpc,4,16,0.1875,0.1975,0.1410,0.0331,0.0000,0.0000,0.0039,0.0056
heavy_object,transformer_energy_scorer,0,16,0.1875,0.1975,0.1353,0.0260,0.0000,0.0000,0.0000,0.0000
heavy_object,transformer_energy_scorer,1,16,0.0625,0.1225,0.1464,0.0241,0.0000,0.0000,0.0072,0.0084
heavy_object,transformer_energy_scorer,2,16,0.0625,0.1225,0.1572,0.0355,0.0625,0.1225,0.0112,0.0220
heavy_object,transformer_energy_scorer,3,16,0.1250,0.1674,0.1361,0.0224,0.0625,0.1225,0.0251,0.0338
heavy_object,transformer_energy_scorer,4,16,0.1875,0.1975,0.1364,0.0316,0.0625,0.1225,0.0181,0.0279
high_friction,geometric_greedy,0,16,0.0000,0.0000,0.1929,0.0280,0.1250,0.1674,0.1187,0.0574
high_friction,geometric_greedy,1,16,0.0625,0.1225,0.1919,0.0250,0.0625,0.1225,0.0953,0.0521
high_friction,geometric_greedy,2,16,0.0000,0.0000,0.2001,0.0274,0.0625,0.1225,0.0887,0.0413
high_friction,geometric_greedy,3,16,0.0000,0.0000,0.1786,0.0187,0.0000,0.0000,0.0501,0.0272
high_friction,geometric_greedy,4,16,0.0000,0.0000,0.2041,0.0312,0.0625,0.1225,0.0895,0.0544
high_friction,mlp_energy_scorer,0,16,0.1250,0.1674,0.1329,0.0300,0.0000,0.0000,0.0197,0.0207
high_friction,mlp_energy_scorer,1,16,0.2500,0.2191,0.1211,0.0307,0.0000,0.0000,0.0039,0.0055
high_friction,mlp_energy_scorer,2,16,0.2500,0.2191,0.1434,0.0340,0.0000,0.0000,0.0119,0.0172
high_friction,mlp_energy_scorer,3,16,0.1250,0.1674,0.1366,0.0193,0.0000,0.0000,0.0074,0.0090
high_friction,mlp_energy_scorer,4,16,0.0625,0.1225,0.1379,0.0292,0.1250,0.1674,0.0410,0.0317
high_friction,nominal_rollout_mpc,0,16,0.1875,0.1975,0.1120,0.0346,0.2500,0.2191,0.0740,0.0587
high_friction,nominal_rollout_mpc,1,16,0.3125,0.2346,0.1161,0.0322,0.0625,0.1225,0.0177,0.0319
high_friction,nominal_rollout_mpc,2,16,0.3125,0.2346,0.1344,0.0342,0.0000,0.0000,0.0031,0.0048
high_friction,nominal_rollout_mpc,3,16,0.1875,0.1975,0.1188,0.0220,0.2500,0.2191,0.0646,0.0560
high_friction,nominal_rollout_mpc,4,16,0.1875,0.1975,0.1275,0.0323,0.1875,0.1975,0.0496,0.0419
high_friction,oracle_mujoco_rollout_selector,0,16,0.2500,0.2191,0.1132,0.0298,0.0000,0.0000,0.0000,0.0000
high_friction,oracle_mujoco_rollout_selector,1,16,0.3750,0.2450,0.1169,0.0319,0.0000,0.0000,0.0000,0.0000
high_friction,oracle_mujoco_rollout_selector,2,16,0.3750,0.2450,0.1315,0.0353,0.0000,0.0000,0.0000,0.0000
high_friction,oracle_mujoco_rollout_selector,3,16,0.1875,0.1975,0.1292,0.0214,0.0000,0.0000,0.0000,0.0000
high_friction,oracle_mujoco_rollout_selector,4,16,0.1875,0.1975,0.1342,0.0327,0.0000,0.0000,0.0000,0.0000
high_friction,random_candidate,0,16,0.0000,0.0000,0.2063,0.0606,0.4375,0.2511,0.2267,0.0849
high_friction,random_candidate,1,16,0.0000,0.0000,0.2032,0.0392,0.5625,0.2511,0.2566,0.0650
high_friction,random_candidate,2,16,0.0000,0.0000,0.1953,0.0398,0.7500,0.2191,0.2910,0.0685
high_friction,random_candidate,3,16,0.0000,0.0000,0.1943,0.0541,0.4375,0.2511,0.1980,0.0856
high_friction,random_candidate,4,16,0.0000,0.0000,0.1699,0.0386,0.5000,0.2530,0.1868,0.0707
high_friction,robust_worst_case_mpc,0,16,0.1875,0.1975,0.1194,0.0324,0.1250,0.1674,0.0437,0.0479
high_friction,robust_worst_case_mpc,1,16,0.3125,0.2346,0.1186,0.0313,0.0000,0.0000,0.0014,0.0028
high_friction,robust_worst_case_mpc,2,16,0.3125,0.2346,0.1481,0.0361,0.0000,0.0000,0.0166,0.0212
high_friction,robust_worst_case_mpc,3,16,0.1250,0.1674,0.1337,0.0196,0.0625,0.1225,0.0233,0.0314
high_friction,robust_worst_case_mpc,4,16,0.1875,0.1975,0.1355,0.0352,0.1250,0.1674,0.0386,0.0364
high_friction,transformer_energy_scorer,0,16,0.1250,0.1674,0.1224,0.0313,0.1250,0.1674,0.0467,0.0476
high_friction,transformer_energy_scorer,1,16,0.3125,0.2346,0.1161,0.0322,0.0625,0.1225,0.0177,0.0319
high_friction,transformer_energy_scorer,2,16,0.3125,0.2346,0.1409,0.0352,0.0000,0.0000,0.0094,0.0169
high_friction,transformer_energy_scorer,3,16,0.1875,0.1975,0.1298,0.0208,0.0625,0.1225,0.0194,0.0311
high_friction,transformer_energy_scorer,4,16,0.1250,0.1674,0.1358,0.0300,0.1250,0.1674,0.0389,0.0321
low_friction,geometric_greedy,0,16,0.0000,0.0000,0.2844,0.0243,0.0000,0.0000,0.0932,0.0504
low_friction,geometric_greedy,1,16,0.0000,0.0000,0.2570,0.0436,0.0000,0.0000,0.1142,0.0520
low_friction,geometric_greedy,2,16,0.0000,0.0000,0.2716,0.0375,0.0000,0.0000,0.1254,0.0468
low_friction,geometric_greedy,3,16,0.0000,0.0000,0.2819,0.0298,0.0000,0.0000,0.1169,0.0494
low_friction,geometric_greedy,4,16,0.0000,0.0000,0.2849,0.0326,0.0000,0.0000,0.0928,0.0503
low_friction,mlp_energy_scorer,0,16,0.0000,0.0000,0.1848,0.0289,0.1250,0.1674,0.0297,0.0306
low_friction,mlp_energy_scorer,1,16,0.0625,0.1225,0.1570,0.0290,0.0000,0.0000,0.0125,0.0147
low_friction,mlp_energy_scorer,2,16,0.0625,0.1225,0.1676,0.0251,0.0000,0.0000,0.0198,0.0147
low_friction,mlp_energy_scorer,3,16,0.1250,0.1674,0.1611,0.0413,0.0625,0.1225,0.0130,0.0254
low_friction,mlp_energy_scorer,4,16,0.0000,0.0000,0.1891,0.0317,0.0625,0.1225,0.0145,0.0215
low_friction,nominal_rollout_mpc,0,16,0.0000,0.0000,0.1770,0.0324,0.2500,0.2191,0.0595,0.0488
low_friction,nominal_rollout_mpc,1,16,0.1250,0.1674,0.1460,0.0329,0.1250,0.1674,0.0390,0.0431
low_friction,nominal_rollout_mpc,2,16,0.1250,0.1674,0.1484,0.0412,0.3125,0.2346,0.0946,0.0562
low_friction,nominal_rollout_mpc,3,16,0.1250,0.1674,0.1558,0.0433,0.1250,0.1674,0.0264,0.0354
low_friction,nominal_rollout_mpc,4,16,0.0000,0.0000,0.1729,0.0395,0.2500,0.2191,0.0545,0.0482
low_friction,oracle_mujoco_rollout_selector,0,16,0.0000,0.0000,0.1926,0.0322,0.0000,0.0000,0.0000,0.0000
low_friction,oracle_mujoco_rollout_selector,1,16,0.1250,0.1674,0.1445,0.0320,0.0000,0.0000,0.0000,0.0000
low_friction,oracle_mujoco_rollout_selector,2,16,0.1250,0.1674,0.1478,0.0230,0.0000,0.0000,0.0000,0.0000
low_friction,oracle_mujoco_rollout_selector,3,16,0.1250,0.1674,0.1669,0.0388,0.0000,0.0000,0.0000,0.0000
low_friction,oracle_mujoco_rollout_selector,4,16,0.0000,0.0000,0.1934,0.0352,0.0000,0.0000,0.0000,0.0000
low_friction,random_candidate,0,16,0.0000,0.0000,0.2523,0.0756,0.6250,0.2450,0.2493,0.0570
low_friction,random_candidate,1,16,0.0000,0.0000,0.2502,0.0483,0.3750,0.2450,0.2192,0.0871
low_friction,random_candidate,2,16,0.0000,0.0000,0.2732,0.0580,0.3125,0.2346,0.2210,0.0674
low_friction,random_candidate,3,16,0.0000,0.0000,0.2719,0.0686,0.4375,0.2511,0.2378,0.0839
low_friction,random_candidate,4,16,0.0000,0.0000,0.2968,0.0621,0.3125,0.2346,0.1990,0.0557
low_friction,robust_worst_case_mpc,0,16,0.0000,0.0000,0.1930,0.0321,0.0625,0.1225,0.0192,0.0298
low_friction,robust_worst_case_mpc,1,16,0.1250,0.1674,0.1549,0.0309,0.0000,0.0000,0.0103,0.0143
low_friction,robust_worst_case_mpc,2,16,0.1250,0.1674,0.1643,0.0289,0.0000,0.0000,0.0165,0.0175
low_friction,robust_worst_case_mpc,3,16,0.1250,0.1674,0.1611,0.0413,0.0625,0.1225,0.0130,0.0254
low_friction,robust_worst_case_mpc,4,16,0.0000,0.0000,0.1934,0.0352,0.0000,0.0000,0.0000,0.0000
low_friction,transformer_energy_scorer,0,16,0.0000,0.0000,0.1822,0.0298,0.1250,0.1674,0.0271,0.0308
low_friction,transformer_energy_scorer,1,16,0.1250,0.1674,0.1500,0.0317,0.0625,0.1225,0.0242,0.0330
low_friction,transformer_energy_scorer,2,16,0.0625,0.1225,0.1551,0.0282,0.0625,0.1225,0.0261,0.0278
low_friction,transformer_energy_scorer,3,16,0.1250,0.1674,0.1611,0.0413,0.0625,0.1225,0.0130,0.0254
low_friction,transformer_energy_scorer,4,16,0.0000,0.0000,0.1855,0.0335,0.0625,0.1225,0.0108,0.0212
nominal,geometric_greedy,0,16,0.0000,0.0000,0.2135,0.0295,0.0625,0.1225,0.1162,0.0565
nominal,geometric_greedy,1,16,0.0625,0.1225,0.1858,0.0252,0.0000,0.0000,0.1058,0.0286
nominal,geometric_greedy,2,16,0.0000,0.0000,0.1777,0.0237,0.0625,0.1225,0.0832,0.0653
nominal,geometric_greedy,3,16,0.0000,0.0000,0.2206,0.0218,0.0000,0.0000,0.0782,0.0387
nominal,geometric_greedy,4,16,0.0000,0.0000,0.1865,0.0277,0.0625,0.1225,0.0669,0.0503
nominal,mlp_energy_scorer,0,16,0.1250,0.1674,0.1384,0.0403,0.0625,0.1225,0.0396,0.0345
nominal,mlp_energy_scorer,1,16,0.2500,0.2191,0.1065,0.0237,0.0000,0.0000,0.0243,0.0216
nominal,mlp_energy_scorer,2,16,0.2500,0.2191,0.1275,0.0320,0.0000,0.0000,0.0128,0.0131
nominal,mlp_energy_scorer,3,16,0.0625,0.1225,0.1618,0.0295,0.0000,0.0000,0.0183,0.0141
nominal,mlp_energy_scorer,4,16,0.1875,0.1975,0.1329,0.0312,0.0625,0.1225,0.0125,0.0197
nominal,nominal_rollout_mpc,0,16,0.1875,0.1975,0.1216,0.0384,0.0625,0.1225,0.0234,0.0313
nominal,nominal_rollout_mpc,1,16,0.3125,0.2346,0.0905,0.0201,0.0000,0.0000,0.0085,0.0166
nominal,nominal_rollout_mpc,2,16,0.3125,0.2346,0.1127,0.0303,0.0625,0.1225,0.0168,0.0316
nominal,nominal_rollout_mpc,3,16,0.1875,0.1975,0.1436,0.0348,0.0000,0.0000,0.0000,0.0000
nominal,nominal_rollout_mpc,4,16,0.1875,0.1975,0.1266,0.0296,0.1250,0.1674,0.0250,0.0342
nominal,oracle_mujoco_rollout_selector,0,16,0.2500,0.2191,0.1171,0.0360,0.0000,0.0000,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,1,16,0.3750,0.2450,0.0822,0.0152,0.0000,0.0000,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,2,16,0.3125,0.2346,0.1147,0.0300,0.0000,0.0000,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,3,16,0.1875,0.1975,0.1436,0.0348,0.0000,0.0000,0.0000,0.0000
nominal,oracle_mujoco_rollout_selector,4,16,0.1875,0.1975,0.1390,0.0309,0.0000,0.0000,0.0000,0.0000
nominal,random_candidate,0,16,0.0000,0.0000,0.2082,0.0304,0.3750,0.2450,0.2052,0.0558
nominal,random_candidate,1,16,0.0000,0.0000,0.1896,0.0492,0.4375,0.2511,0.2405,0.0893
nominal,random_candidate,2,16,0.0000,0.0000,0.2016,0.0498,0.6875,0.2346,0.2952,0.0569
nominal,random_candidate,3,16,0.0000,0.0000,0.1804,0.0502,0.7500,0.2191,0.2638,0.0629
nominal,random_candidate,4,16,0.0000,0.0000,0.2274,0.0599,0.5000,0.2530,0.2403,0.0799
nominal,robust_worst_case_mpc,0,16,0.1875,0.1975,0.1389,0.0438,0.0625,0.1225,0.0402,0.0356
nominal,robust_worst_case_mpc,1,16,0.2500,0.2191,0.0981,0.0227,0.0000,0.0000,0.0158,0.0204
nominal,robust_worst_case_mpc,2,16,0.3125,0.2346,0.1243,0.0321,0.0000,0.0000,0.0096,0.0121
nominal,robust_worst_case_mpc,3,16,0.0625,0.1225,0.1623,0.0297,0.0000,0.0000,0.0188,0.0135
nominal,robust_worst_case_mpc,4,16,0.1875,0.1975,0.1396,0.0313,0.0000,0.0000,0.0004,0.0008
nominal,transformer_energy_scorer,0,16,0.1250,0.1674,0.1322,0.0415,0.0625,0.1225,0.0334,0.0353
nominal,transformer_energy_scorer,1,16,0.2500,0.2191,0.0983,0.0227,0.0000,0.0000,0.0161,0.0204
nominal,transformer_energy_scorer,2,16,0.3125,0.2346,0.1153,0.0300,0.0000,0.0000,0.0006,0.0013
nominal,transformer_energy_scorer,3,16,0.0625,0.1225,0.1595,0.0301,0.0000,0.0000,0.0159,0.0125
nominal,transformer_energy_scorer,4,16,0.1875,0.1975,0.1329,0.0312,0.0625,0.1225,0.0125,0.0197
obstacle_shift,geometric_greedy,0,16,0.0000,0.0000,0.2175,0.0261,0.0000,0.0000,0.1185,0.0386
obstacle_shift,geometric_greedy,1,16,0.0625,0.1225,0.1821,0.0264,0.0000,0.0000,0.0812,0.0292
obstacle_shift,geometric_greedy,2,16,0.0000,0.0000,0.2035,0.0280,0.0000,0.0000,0.1226,0.0252
obstacle_shift,geometric_greedy,3,16,0.0000,0.0000,0.2064,0.0198,0.0000,0.0000,0.1133,0.0229
obstacle_shift,geometric_greedy,4,16,0.0000,0.0000,0.1816,0.0264,0.0000,0.0000,0.1042,0.0334
obstacle_shift,mlp_energy_scorer,0,16,0.4375,0.2511,0.1061,0.0300,0.0000,0.0000,0.0049,0.0066
obstacle_shift,mlp_energy_scorer,1,16,0.3750,0.2450,0.1031,0.0289,0.0000,0.0000,0.0000,0.0000
obstacle_shift,mlp_energy_scorer,2,16,0.5625,0.2511,0.0882,0.0285,0.0000,0.0000,0.0043,0.0064
obstacle_shift,mlp_energy_scorer,3,16,0.3125,0.2346,0.0975,0.0280,0.0000,0.0000,0.0019,0.0038
obstacle_shift,mlp_energy_scorer,4,16,0.6250,0.2450,0.0834,0.0279,0.0000,0.0000,0.0032,0.0051
obstacle_shift,nominal_rollout_mpc,0,16,0.4375,0.2511,0.1012,0.0312,0.0000,0.0000,0.0000,0.0000
obstacle_shift,nominal_rollout_mpc,1,16,0.3750,0.2450,0.1031,0.0289,0.0000,0.0000,0.0000,0.0000
obstacle_shift,nominal_rollout_mpc,2,16,0.6250,0.2450,0.0808,0.0263,0.0625,0.1225,0.0157,0.0309
obstacle_shift,nominal_rollout_mpc,3,16,0.3125,0.2346,0.0908,0.0282,0.1250,0.1674,0.0327,0.0411
obstacle_shift,nominal_rollout_mpc,4,16,0.6875,0.2346,0.0808,0.0281,0.0000,0.0000,0.0006,0.0012
obstacle_shift,oracle_mujoco_rollout_selector,0,16,0.4375,0.2511,0.1012,0.0312,0.0000,0.0000,0.0000,0.0000
obstacle_shift,oracle_mujoco_rollout_selector,1,16,0.3750,0.2450,0.1031,0.0289,0.0000,0.0000,0.0000,0.0000
obstacle_shift,oracle_mujoco_rollout_selector,2,16,0.6250,0.2450,0.0839,0.0281,0.0000,0.0000,0.0000,0.0000
obstacle_shift,oracle_mujoco_rollout_selector,3,16,0.3750,0.2450,0.0956,0.0283,0.0000,0.0000,0.0000,0.0000
obstacle_shift,oracle_mujoco_rollout_selector,4,16,0.6875,0.2346,0.0803,0.0282,0.0000,0.0000,0.0000,0.0000
obstacle_shift,random_candidate,0,16,0.0625,0.1225,0.2213,0.0546,0.6875,0.2346,0.3282,0.0929
obstacle_shift,random_candidate,1,16,0.0000,0.0000,0.2268,0.0457,0.4375,0.2511,0.2560,0.0757
obstacle_shift,random_candidate,2,16,0.0625,0.1225,0.1898,0.0479,0.5625,0.2511,0.2755,0.1026
obstacle_shift,random_candidate,3,16,0.1875,0.1975,0.2424,0.0924,0.4375,0.2511,0.2800,0.1331
obstacle_shift,random_candidate,4,16,0.0000,0.0000,0.2110,0.0342,0.2500,0.2191,0.2075,0.0719
obstacle_shift,robust_worst_case_mpc,0,16,0.4375,0.2511,0.1065,0.0350,0.0000,0.0000,0.0053,0.0104
obstacle_shift,robust_worst_case_mpc,1,16,0.3750,0.2450,0.1031,0.0289,0.0000,0.0000,0.0000,0.0000
obstacle_shift,robust_worst_case_mpc,2,16,0.5625,0.2511,0.0852,0.0280,0.0000,0.0000,0.0014,0.0026
obstacle_shift,robust_worst_case_mpc,3,16,0.3125,0.2346,0.1069,0.0366,0.0000,0.0000,0.0113,0.0127
obstacle_shift,robust_worst_case_mpc,4,16,0.6250,0.2450,0.0849,0.0274,0.0000,0.0000,0.0047,0.0081
obstacle_shift,transformer_energy_scorer,0,16,0.4375,0.2511,0.1035,0.0302,0.0000,0.0000,0.0023,0.0045
obstacle_shift,transformer_energy_scorer,1,16,0.2500,0.2191,0.1096,0.0269,0.0625,0.1225,0.0253,0.0462
obstacle_shift,transformer_energy_scorer,2,16,0.6250,0.2450,0.0839,0.0281,0.0000,0.0000,0.0001,0.0001
obstacle_shift,transformer_energy_scorer,3,16,0.3750,0.2450,0.0974,0.0277,0.0000,0.0000,0.0018,0.0035
obstacle_shift,transformer_energy_scorer,4,16,0.6250,0.2450,0.0836,0.0275,0.0000,0.0000,0.0034,0.0055
