split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,effort_mean,effort_ci95,shield_activation_rate,no_feasible_rate
combined_shift,cvar_branch_score,96,0.1354,0.0688,0.1658,0.0173,0.0417,0.0402,0.0628,0.0155,0.4284,0.0142,0.0625,0.0000
combined_shift,deep_sets_energy_scorer,96,0.1354,0.0688,0.1594,0.0171,0.1146,0.0641,0.0804,0.0213,0.4526,0.0204,0.0000,0.0000
combined_shift,mlp_energy_scorer,96,0.1042,0.0614,0.1659,0.0173,0.1146,0.0641,0.0874,0.0215,0.4682,0.0248,0.0000,0.0000
combined_shift,rc_ret_energy_scorer_v5,96,0.1354,0.0688,0.1643,0.0166,0.0417,0.0402,0.0617,0.0153,0.4401,0.0174,0.0521,0.0000
combined_shift,rc_ret_no_cvar_loss,96,0.1354,0.0688,0.1654,0.0172,0.0417,0.0402,0.0628,0.0153,0.4410,0.0179,0.0729,0.0000
combined_shift,rc_ret_no_feasibility,96,0.1354,0.0688,0.1263,0.0156,0.4479,0.1000,0.1533,0.0301,0.4284,0.0152,0.0000,0.0000
combined_shift,rc_ret_no_risk_features,96,0.0000,0.0000,0.2455,0.0158,0.0104,0.0204,0.1353,0.0186,0.5220,0.0144,0.0729,0.0000
combined_shift,rc_ret_no_shield,96,0.1354,0.0688,0.1619,0.0164,0.0625,0.0487,0.0658,0.0172,0.4368,0.0162,0.0000,0.0000
combined_shift,rc_ret_small_data,96,0.1354,0.0688,0.1650,0.0168,0.0417,0.0402,0.0623,0.0154,0.4379,0.0170,0.0625,0.0000
combined_shift,set_transformer_energy_scorer_v4,96,0.1250,0.0665,0.1595,0.0167,0.1146,0.0641,0.0809,0.0212,0.4612,0.0232,0.0000,0.0000
combined_shift,shielded_mlp_energy_scorer,96,0.1146,0.0641,0.1743,0.0178,0.0521,0.0447,0.0763,0.0175,0.4835,0.0267,0.1250,0.0000
narrow_clearance,cvar_branch_score,96,0.0000,0.0000,0.1968,0.0090,0.0312,0.0350,0.0346,0.0126,0.4449,0.0211,0.0729,0.0000
narrow_clearance,deep_sets_energy_scorer,96,0.0312,0.0350,0.1765,0.0121,0.1354,0.0688,0.0474,0.0168,0.4326,0.0190,0.0000,0.0000
narrow_clearance,mlp_energy_scorer,96,0.0208,0.0287,0.1888,0.0100,0.0833,0.0556,0.0434,0.0170,0.4468,0.0203,0.0000,0.0000
narrow_clearance,rc_ret_energy_scorer_v5,96,0.0000,0.0000,0.2048,0.0100,0.0417,0.0402,0.0456,0.0143,0.4329,0.0182,0.0625,0.0000
narrow_clearance,rc_ret_no_cvar_loss,96,0.0000,0.0000,0.2061,0.0100,0.0312,0.0350,0.0436,0.0127,0.4313,0.0170,0.0729,0.0000
narrow_clearance,rc_ret_no_feasibility,96,0.0208,0.0287,0.1135,0.0157,0.9375,0.0487,0.2405,0.0207,0.4151,0.0134,0.0000,0.0000
narrow_clearance,rc_ret_no_risk_features,96,0.0000,0.0000,0.2369,0.0086,0.0104,0.0204,0.0693,0.0109,0.4848,0.0124,0.1875,0.0000
narrow_clearance,rc_ret_no_shield,96,0.0104,0.0204,0.2012,0.0103,0.0417,0.0402,0.0418,0.0137,0.4259,0.0169,0.0000,0.0000
narrow_clearance,rc_ret_small_data,96,0.0000,0.0000,0.2029,0.0096,0.0417,0.0402,0.0442,0.0140,0.4488,0.0196,0.0938,0.0000
narrow_clearance,set_transformer_energy_scorer_v4,96,0.0312,0.0350,0.1757,0.0116,0.1458,0.0710,0.0496,0.0186,0.4258,0.0184,0.0000,0.0000
narrow_clearance,shielded_mlp_energy_scorer,96,0.0000,0.0000,0.1961,0.0088,0.0521,0.0447,0.0411,0.0151,0.4571,0.0217,0.1354,0.0000
