split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95
combined_shift,geometric_greedy,80,0.0500,0.0481,0.2496,0.0235,0.0000,0.0000,0.1443,0.0209
combined_shift,mlp_energy_scorer,80,0.4250,0.1090,0.1238,0.0170,0.0375,0.0419,0.0269,0.0129
combined_shift,nominal_rollout_mpc,80,0.4125,0.1086,0.1120,0.0158,0.1250,0.0729,0.0414,0.0183
combined_shift,oracle_mujoco_rollout_selector,80,0.4750,0.1101,0.1044,0.0157,0.0125,0.0245,0.0000,0.0000
combined_shift,random_candidate,80,0.1000,0.0662,0.2481,0.0330,0.3375,0.1043,0.2428,0.0378
combined_shift,robust_worst_case_mpc,80,0.4125,0.1086,0.1239,0.0175,0.0375,0.0419,0.0270,0.0136
combined_shift,transformer_energy_scorer,80,0.4125,0.1086,0.1183,0.0165,0.0750,0.0581,0.0326,0.0154
heavy_object,geometric_greedy,80,0.0000,0.0000,0.2074,0.0118,0.0250,0.0344,0.0749,0.0212
heavy_object,mlp_energy_scorer,80,0.1000,0.0662,0.1475,0.0121,0.0250,0.0344,0.0138,0.0088
heavy_object,nominal_rollout_mpc,80,0.1375,0.0759,0.1382,0.0136,0.1000,0.0662,0.0271,0.0170
heavy_object,oracle_mujoco_rollout_selector,80,0.1750,0.0838,0.1411,0.0130,0.0000,0.0000,0.0000,0.0000
heavy_object,random_candidate,80,0.0500,0.0481,0.2037,0.0226,0.5750,0.1090,0.2366,0.0332
heavy_object,robust_worst_case_mpc,80,0.1375,0.0759,0.1452,0.0127,0.0125,0.0245,0.0077,0.0072
heavy_object,transformer_energy_scorer,80,0.1250,0.0729,0.1423,0.0125,0.0375,0.0419,0.0123,0.0099
high_friction,geometric_greedy,80,0.0125,0.0245,0.1935,0.0117,0.0625,0.0534,0.0885,0.0214
high_friction,mlp_energy_scorer,80,0.1625,0.0814,0.1344,0.0128,0.0250,0.0344,0.0168,0.0089
high_friction,nominal_rollout_mpc,80,0.2375,0.0938,0.1218,0.0138,0.1500,0.0787,0.0418,0.0198
high_friction,oracle_mujoco_rollout_selector,80,0.2750,0.0985,0.1250,0.0135,0.0000,0.0000,0.0000,0.0000
high_friction,random_candidate,80,0.0000,0.0000,0.1938,0.0208,0.5375,0.1099,0.2318,0.0339
high_friction,robust_worst_case_mpc,80,0.2250,0.0921,0.1311,0.0139,0.0625,0.0534,0.0247,0.0143
high_friction,transformer_energy_scorer,80,0.2125,0.0902,0.1290,0.0133,0.0750,0.0581,0.0264,0.0149
low_friction,geometric_greedy,80,0.0000,0.0000,0.2760,0.0151,0.0000,0.0000,0.1085,0.0219
low_friction,mlp_energy_scorer,80,0.0500,0.0481,0.1719,0.0141,0.0500,0.0481,0.0179,0.0098
low_friction,nominal_rollout_mpc,80,0.0750,0.0581,0.1600,0.0168,0.2125,0.0902,0.0548,0.0210
low_friction,oracle_mujoco_rollout_selector,80,0.0750,0.0581,0.1690,0.0150,0.0000,0.0000,0.0000,0.0000
low_friction,random_candidate,80,0.0000,0.0000,0.2689,0.0278,0.4125,0.1086,0.2253,0.0314
low_friction,robust_worst_case_mpc,80,0.0750,0.0581,0.1733,0.0152,0.0250,0.0344,0.0118,0.0089
low_friction,transformer_energy_scorer,80,0.0625,0.0534,0.1668,0.0148,0.0750,0.0581,0.0202,0.0123
nominal,geometric_greedy,80,0.0125,0.0245,0.1968,0.0118,0.0375,0.0419,0.0901,0.0220
nominal,mlp_energy_scorer,80,0.1750,0.0838,0.1334,0.0144,0.0250,0.0344,0.0215,0.0098
nominal,nominal_rollout_mpc,80,0.2375,0.0938,0.1190,0.0142,0.0500,0.0481,0.0147,0.0116
nominal,oracle_mujoco_rollout_selector,80,0.2625,0.0970,0.1193,0.0141,0.0000,0.0000,0.0000,0.0000
nominal,random_candidate,80,0.0000,0.0000,0.2015,0.0216,0.5500,0.1097,0.2490,0.0313
nominal,robust_worst_case_mpc,80,0.2000,0.0882,0.1327,0.0150,0.0125,0.0245,0.0170,0.0092
nominal,transformer_energy_scorer,80,0.1875,0.0861,0.1277,0.0145,0.0250,0.0344,0.0157,0.0094
obstacle_shift,geometric_greedy,80,0.0125,0.0245,0.1982,0.0115,0.0000,0.0000,0.1080,0.0136
obstacle_shift,mlp_energy_scorer,80,0.4625,0.1099,0.0957,0.0126,0.0000,0.0000,0.0029,0.0022
obstacle_shift,nominal_rollout_mpc,80,0.4875,0.1102,0.0914,0.0126,0.0375,0.0419,0.0098,0.0104
obstacle_shift,oracle_mujoco_rollout_selector,80,0.5000,0.1103,0.0928,0.0128,0.0000,0.0000,0.0000,0.0000
obstacle_shift,random_candidate,80,0.0625,0.0534,0.2183,0.0258,0.4750,0.1101,0.2694,0.0434
obstacle_shift,robust_worst_case_mpc,80,0.4625,0.1099,0.0973,0.0139,0.0000,0.0000,0.0045,0.0037
obstacle_shift,transformer_energy_scorer,80,0.4625,0.1099,0.0956,0.0125,0.0125,0.0245,0.0066,0.0094
