split,baseline,paired_episodes,success_delta_mean,success_delta_ci_low,success_delta_ci_high,success_delta_p_signflip,regret_improvement_mean,regret_improvement_ci_low,regret_improvement_ci_high,regret_improvement_p_signflip,distance_improvement_mean,violation_delta_mean,violation_delta_ci_low,violation_delta_ci_high,violation_delta_p_signflip
actuation_noise,geometric_greedy,96,0.1979,0.1250,0.2812,0.0005,0.1927,0.1551,0.2267,0.0005,0.0907,-0.3125,-0.4271,-0.1979,0.0005
actuation_noise,nominal_rollout_mpc,96,-0.0208,-0.0625,0.0208,0.6232,0.0501,0.0266,0.0757,0.0010,-0.0119,-0.1875,-0.2708,-0.1146,0.0005
actuation_noise,robust_worst_case_mpc,96,0.0000,-0.0312,0.0312,1.0000,0.0018,-0.0072,0.0125,0.7101,-0.0012,-0.0104,-0.0521,0.0208,1.0000
actuation_noise,cvar_branch_score,96,0.0104,0.0000,0.0312,1.0000,0.0022,-0.0028,0.0085,0.4988,0.0023,0.0000,0.0000,0.0000,1.0000
actuation_noise,mlp_energy_scorer,96,-0.0417,-0.0833,-0.0104,0.1294,-0.0011,-0.0161,0.0125,0.8826,-0.0146,-0.0417,-0.0938,0.0000,0.2154
actuation_noise,shielded_mlp_energy_scorer,96,-0.0104,-0.0417,0.0000,1.0000,0.0028,-0.0038,0.0119,0.6617,-0.0008,-0.0104,-0.0312,0.0000,1.0000
actuation_noise,deep_sets_energy_scorer,96,-0.0521,-0.1146,-0.0104,0.1304,0.0166,-0.0049,0.0384,0.1409,-0.0201,-0.1146,-0.1875,-0.0417,0.0035
actuation_noise,set_transformer_energy_scorer_v4,96,-0.0625,-0.1146,-0.0208,0.0280,0.0083,-0.0101,0.0263,0.3823,-0.0217,-0.0938,-0.1667,-0.0312,0.0145
actuation_noise,oracle_mujoco_rollout_selector,96,-0.1875,-0.2708,-0.1146,0.0005,-0.0591,-0.0814,-0.0403,0.0005,-0.0347,0.0833,0.0312,0.1458,0.0075
combined_shift,geometric_greedy,96,0.1250,0.0521,0.1979,0.0010,0.2011,0.1710,0.2328,0.0005,0.1116,-0.2708,-0.3646,-0.1771,0.0005
combined_shift,nominal_rollout_mpc,96,0.0000,-0.0417,0.0417,1.0000,0.0401,0.0159,0.0654,0.0045,-0.0052,-0.1354,-0.2083,-0.0729,0.0005
combined_shift,robust_worst_case_mpc,96,0.0000,0.0000,0.0000,1.0000,0.0055,-0.0002,0.0125,0.1159,-0.0007,-0.0208,-0.0521,0.0000,0.4863
combined_shift,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,0.0012,-0.0012,0.0042,0.4043,0.0015,0.0000,0.0000,0.0000,1.0000
combined_shift,mlp_energy_scorer,96,0.0312,0.0000,0.0729,0.2679,0.0258,0.0102,0.0430,0.0030,0.0016,-0.0729,-0.1250,-0.0310,0.0155
combined_shift,shielded_mlp_energy_scorer,96,0.0208,-0.0208,0.0625,0.6212,0.0146,0.0042,0.0267,0.0065,0.0099,-0.0104,-0.0312,0.0000,1.0000
combined_shift,deep_sets_energy_scorer,96,0.0000,-0.0312,0.0312,1.0000,0.0188,0.0021,0.0365,0.0345,-0.0049,-0.0729,-0.1250,-0.0208,0.0165
combined_shift,set_transformer_energy_scorer_v4,96,0.0104,-0.0208,0.0521,1.0000,0.0192,0.0036,0.0362,0.0230,-0.0048,-0.0729,-0.1250,-0.0208,0.0170
combined_shift,oracle_mujoco_rollout_selector,96,-0.1875,-0.2607,-0.1143,0.0005,-0.0617,-0.0776,-0.0471,0.0005,-0.0498,0.0417,0.0104,0.0833,0.1144
far_target,geometric_greedy,96,0.1042,0.0518,0.1771,0.0035,0.2631,0.2335,0.2908,0.0005,0.1389,-0.3750,-0.4792,-0.2812,0.0005
far_target,nominal_rollout_mpc,96,-0.0938,-0.1565,-0.0312,0.0125,0.0212,-0.0010,0.0430,0.0750,-0.0219,-0.1250,-0.1979,-0.0625,0.0010
far_target,robust_worst_case_mpc,96,-0.0104,-0.0312,0.0000,1.0000,0.0005,-0.0036,0.0045,0.7556,0.0007,0.0000,0.0000,0.0000,1.0000
far_target,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,0.0038,-0.0025,0.0110,0.3163,0.0006,-0.0104,-0.0312,0.0000,1.0000
far_target,mlp_energy_scorer,96,-0.0521,-0.0938,-0.0104,0.0585,-0.0102,-0.0239,0.0049,0.1549,-0.0220,-0.0312,-0.0729,0.0000,0.2544
far_target,shielded_mlp_energy_scorer,96,-0.0104,-0.0312,0.0000,1.0000,0.0005,-0.0115,0.0134,0.9555,-0.0115,-0.0312,-0.0729,0.0000,0.2639
far_target,deep_sets_energy_scorer,96,-0.0729,-0.1354,-0.0208,0.0135,-0.0135,-0.0287,0.0020,0.0715,-0.0246,-0.0312,-0.0729,0.0000,0.2474
far_target,set_transformer_energy_scorer_v4,96,-0.0729,-0.1354,-0.0312,0.0150,-0.0067,-0.0233,0.0092,0.3928,-0.0276,-0.0625,-0.1146,-0.0208,0.0380
far_target,oracle_mujoco_rollout_selector,96,-0.2188,-0.3021,-0.1354,0.0005,-0.0457,-0.0606,-0.0330,0.0005,-0.0482,0.0000,0.0000,0.0000,1.0000
heavy_object,geometric_greedy,96,0.2812,0.1979,0.3646,0.0005,0.2105,0.1791,0.2413,0.0005,0.0853,-0.3854,-0.4896,-0.2917,0.0005
heavy_object,nominal_rollout_mpc,96,-0.0312,-0.0938,0.0208,0.4548,0.0304,0.0078,0.0553,0.0175,-0.0118,-0.1250,-0.1982,-0.0417,0.0035
