split,baseline,paired_episodes,success_delta_mean,success_delta_ci_low,success_delta_ci_high,success_delta_p_signflip,regret_improvement_mean,regret_improvement_ci_low,regret_improvement_ci_high,regret_improvement_p_signflip,distance_improvement_mean,violation_delta_mean,violation_delta_ci_low,violation_delta_ci_high,violation_delta_p_signflip
heavy_object,robust_worst_case_mpc,96,-0.0104,-0.0312,0.0000,1.0000,-0.0031,-0.0164,0.0095,0.6197,-0.0032,0.0000,-0.0417,0.0417,1.0000
heavy_object,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,-0.0061,-0.0153,-0.0011,0.0140,-0.0031,0.0104,0.0000,0.0312,1.0000
heavy_object,mlp_energy_scorer,96,-0.0312,-0.0729,0.0000,0.2519,-0.0038,-0.0195,0.0120,0.6137,-0.0110,-0.0208,-0.0729,0.0312,0.6792
heavy_object,shielded_mlp_energy_scorer,96,0.0000,0.0000,0.0000,1.0000,-0.0091,-0.0186,-0.0019,0.0125,-0.0032,0.0208,0.0000,0.0521,0.5017
heavy_object,deep_sets_energy_scorer,96,-0.0625,-0.1146,-0.0208,0.0295,0.0154,-0.0051,0.0382,0.1889,-0.0185,-0.1042,-0.1771,-0.0312,0.0140
heavy_object,set_transformer_energy_scorer_v4,96,-0.0521,-0.1042,-0.0206,0.0615,0.0151,-0.0023,0.0356,0.1119,-0.0152,-0.0938,-0.1562,-0.0312,0.0125
heavy_object,oracle_mujoco_rollout_selector,96,-0.0938,-0.1667,-0.0417,0.0045,-0.0289,-0.0421,-0.0182,0.0005,-0.0232,0.0208,0.0000,0.0521,0.5067
high_friction,geometric_greedy,96,0.2083,0.1250,0.2917,0.0005,0.1668,0.1433,0.1948,0.0005,0.1112,-0.1667,-0.2500,-0.0833,0.0005
high_friction,nominal_rollout_mpc,96,0.0000,-0.0521,0.0521,1.0000,0.0489,0.0291,0.0730,0.0005,0.0029,-0.1354,-0.2083,-0.0727,0.0005
high_friction,robust_worst_case_mpc,96,-0.0104,-0.0312,0.0000,1.0000,-0.0021,-0.0105,0.0069,0.6652,-0.0085,-0.0208,-0.0521,0.0000,0.5097
high_friction,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,-0.0051,-0.0094,-0.0013,0.0190,-0.0048,0.0000,0.0000,0.0000,1.0000
high_friction,mlp_energy_scorer,96,0.0000,-0.0312,0.0312,1.0000,0.0070,-0.0045,0.0210,0.3023,-0.0036,-0.0312,-0.0729,0.0000,0.2414
high_friction,shielded_mlp_energy_scorer,96,0.0104,0.0000,0.0312,1.0000,0.0029,-0.0025,0.0083,0.2819,0.0022,0.0000,0.0000,0.0000,1.0000
high_friction,deep_sets_energy_scorer,96,-0.0208,-0.0625,0.0208,0.6382,0.0168,-0.0002,0.0372,0.0765,-0.0102,-0.0833,-0.1458,-0.0312,0.0080
high_friction,set_transformer_energy_scorer_v4,96,-0.0312,-0.0833,0.0104,0.3643,0.0122,-0.0051,0.0306,0.2139,-0.0118,-0.0729,-0.1250,-0.0208,0.0185
high_friction,oracle_mujoco_rollout_selector,96,-0.0625,-0.1146,-0.0208,0.0365,-0.0327,-0.0453,-0.0210,0.0005,-0.0226,0.0312,0.0000,0.0729,0.2514
light_object,geometric_greedy,96,0.1667,0.0938,0.2396,0.0005,0.2372,0.2063,0.2652,0.0005,0.0750,-0.5000,-0.5938,-0.4062,0.0005
light_object,nominal_rollout_mpc,96,-0.0208,-0.0833,0.0312,0.7281,0.0257,0.0017,0.0530,0.0375,-0.0300,-0.1667,-0.2396,-0.0938,0.0005
light_object,robust_worst_case_mpc,96,0.0000,0.0000,0.0000,1.0000,-0.0041,-0.0070,-0.0010,0.0065,-0.0008,0.0104,0.0000,0.0312,1.0000
light_object,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,-0.0042,-0.0072,-0.0018,0.0015,-0.0011,0.0104,0.0000,0.0312,1.0000
light_object,mlp_energy_scorer,96,-0.0521,-0.1042,-0.0104,0.0705,-0.0117,-0.0259,0.0020,0.1224,-0.0195,-0.0208,-0.0625,0.0208,0.6112
light_object,shielded_mlp_energy_scorer,96,-0.0312,-0.0729,0.0000,0.2599,-0.0126,-0.0205,-0.0065,0.0005,-0.0140,0.0000,0.0000,0.0000,1.0000
light_object,deep_sets_energy_scorer,96,-0.0729,-0.1354,-0.0208,0.0135,-0.0053,-0.0208,0.0124,0.5587,-0.0300,-0.0729,-0.1354,-0.0104,0.0455
light_object,set_transformer_energy_scorer_v4,96,-0.0833,-0.1458,-0.0312,0.0075,-0.0105,-0.0250,0.0039,0.1724,-0.0245,-0.0417,-0.0938,0.0000,0.2194
light_object,oracle_mujoco_rollout_selector,96,-0.2396,-0.3229,-0.1562,0.0005,-0.0440,-0.0563,-0.0337,0.0005,-0.0433,0.0104,0.0000,0.0315,1.0000
low_friction,geometric_greedy,96,0.0833,0.0312,0.1458,0.0085,0.2175,0.1876,0.2491,0.0005,0.0489,-0.5208,-0.6146,-0.4167,0.0005
low_friction,nominal_rollout_mpc,96,-0.0833,-0.1354,-0.0312,0.0105,0.0450,0.0196,0.0703,0.0005,-0.0272,-0.2188,-0.3021,-0.1354,0.0005
low_friction,robust_worst_case_mpc,96,0.0000,0.0000,0.0000,1.0000,0.0052,-0.0003,0.0126,0.1154,0.0022,-0.0104,-0.0312,0.0000,1.0000
low_friction,cvar_branch_score,96,0.0000,-0.0312,0.0312,1.0000,0.0071,0.0018,0.0130,0.0100,0.0072,0.0000,0.0000,0.0000,1.0000
low_friction,mlp_energy_scorer,96,-0.0625,-0.1146,-0.0208,0.0430,-0.0086,-0.0171,0.0012,0.0635,-0.0124,-0.0104,-0.0312,0.0000,1.0000
low_friction,shielded_mlp_energy_scorer,96,-0.0312,-0.0729,0.0000,0.2474,-0.0025,-0.0095,0.0040,0.4733,-0.0037,0.0000,0.0000,0.0000,1.0000
low_friction,deep_sets_energy_scorer,96,-0.0938,-0.1562,-0.0417,0.0055,0.0174,-0.0009,0.0386,0.1000,-0.0233,-0.1250,-0.1979,-0.0625,0.0010
low_friction,set_transformer_energy_scorer_v4,96,-0.0938,-0.1562,-0.0417,0.0045,-0.0045,-0.0167,0.0095,0.5002,-0.0180,-0.0417,-0.0833,-0.0104,0.1189
low_friction,oracle_mujoco_rollout_selector,96,-0.4271,-0.5312,-0.3333,0.0005,-0.0610,-0.0707,-0.0522,0.0005,-0.0596,0.0104,0.0000,0.0312,1.0000
narrow_clearance,geometric_greedy,96,0.0000,0.0000,0.0000,1.0000,0.2162,0.1793,0.2507,0.0005,0.0418,-0.5417,-0.6458,-0.4375,0.0005
narrow_clearance,nominal_rollout_mpc,96,-0.0208,-0.0521,0.0000,0.4868,0.0401,0.0143,0.0663,0.0050,-0.0262,-0.1979,-0.2812,-0.1250,0.0005
narrow_clearance,robust_worst_case_mpc,96,-0.0104,-0.0312,0.0000,1.0000,-0.0071,-0.0201,0.0040,0.2644,-0.0035,0.0104,-0.0208,0.0521,1.0000
narrow_clearance,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,-0.0110,-0.0203,-0.0047,0.0005,-0.0080,0.0104,0.0000,0.0312,1.0000
narrow_clearance,mlp_energy_scorer,96,-0.0208,-0.0521,0.0000,0.5027,-0.0023,-0.0143,0.0115,0.7436,-0.0160,-0.0417,-0.0833,-0.0104,0.1174
narrow_clearance,shielded_mlp_energy_scorer,96,0.0000,0.0000,0.0000,1.0000,-0.0046,-0.0109,0.0049,0.2909,-0.0086,-0.0104,-0.0312,0.0000,1.0000
narrow_clearance,deep_sets_energy_scorer,96,-0.0312,-0.0729,0.0000,0.2684,0.0017,-0.0144,0.0183,0.8301,-0.0283,-0.0938,-0.1562,-0.0417,0.0070
narrow_clearance,set_transformer_energy_scorer_v4,96,-0.0312,-0.0625,0.0000,0.2649,0.0040,-0.0119,0.0202,0.6402,-0.0291,-0.1042,-0.1667,-0.0417,0.0050
narrow_clearance,oracle_mujoco_rollout_selector,96,-0.0312,-0.0729,0.0000,0.2679,-0.0456,-0.0617,-0.0335,0.0005,-0.0341,0.0417,0.0104,0.0833,0.1259
nominal,geometric_greedy,96,0.2604,0.1771,0.3542,0.0005,0.2123,0.1824,0.2449,0.0005,0.0967,-0.3542,-0.4479,-0.2604,0.0005
nominal,nominal_rollout_mpc,96,-0.0625,-0.1146,-0.0208,0.0275,-0.0049,-0.0177,0.0098,0.4873,-0.0267,-0.0625,-0.1146,-0.0208,0.0315
nominal,robust_worst_case_mpc,96,0.0000,0.0000,0.0000,1.0000,0.0031,-0.0008,0.0091,0.2554,-0.0000,-0.0104,-0.0312,0.0000,1.0000
nominal,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,0.0011,-0.0010,0.0034,0.4053,0.0012,0.0000,0.0000,0.0000,1.0000
nominal,mlp_energy_scorer,96,0.0000,-0.0521,0.0521,1.0000,-0.0011,-0.0120,0.0113,0.8426,-0.0186,-0.0521,-0.1042,-0.0104,0.0535
nominal,shielded_mlp_energy_scorer,96,0.0312,0.0000,0.0729,0.2414,-0.0051,-0.0101,-0.0002,0.0425,-0.0065,0.0000,0.0000,0.0000,1.0000
nominal,deep_sets_energy_scorer,96,-0.0312,-0.0833,0.0208,0.4578,0.0006,-0.0118,0.0171,0.9375,-0.0235,-0.0729,-0.1250,-0.0312,0.0160
nominal,set_transformer_energy_scorer_v4,96,-0.0104,-0.0521,0.0312,1.0000,0.0050,-0.0072,0.0198,0.4498,-0.0188,-0.0729,-0.1250,-0.0208,0.0180
nominal,oracle_mujoco_rollout_selector,96,-0.0833,-0.1354,-0.0312,0.0085,-0.0277,-0.0351,-0.0203,0.0005,-0.0305,0.0000,0.0000,0.0000,1.0000
obstacle_shift,geometric_greedy,96,0.3750,0.2708,0.4688,0.0005,0.1993,0.1700,0.2314,0.0005,0.1003,-0.3021,-0.3958,-0.2188,0.0005
obstacle_shift,nominal_rollout_mpc,96,0.0729,0.0208,0.1354,0.0410,0.0019,-0.0133,0.0188,0.8241,-0.0136,-0.0417,-0.0833,-0.0104,0.1289
obstacle_shift,robust_worst_case_mpc,96,0.0000,0.0000,0.0000,1.0000,-0.0037,-0.0077,-0.0001,0.0640,-0.0037,0.0000,0.0000,0.0000,1.0000
obstacle_shift,cvar_branch_score,96,0.0000,0.0000,0.0000,1.0000,-0.0012,-0.0041,0.0011,0.3783,-0.0012,0.0000,0.0000,0.0000,1.0000
obstacle_shift,mlp_energy_scorer,96,-0.0104,-0.0312,0.0000,1.0000,-0.0065,-0.0135,0.0016,0.1099,-0.0108,-0.0104,-0.0312,0.0000,1.0000
obstacle_shift,shielded_mlp_energy_scorer,96,-0.0104,-0.0312,0.0000,1.0000,-0.0064,-0.0116,-0.0020,0.0035,-0.0072,0.0000,0.0000,0.0000,1.0000
obstacle_shift,deep_sets_energy_scorer,96,0.0000,-0.0417,0.0417,1.0000,0.0013,-0.0126,0.0200,0.8911,-0.0131,-0.0417,-0.0833,-0.0104,0.1279
obstacle_shift,set_transformer_energy_scorer_v4,96,0.0000,-0.0521,0.0521,1.0000,-0.0079,-0.0175,0.0025,0.1164,-0.0151,-0.0208,-0.0521,0.0000,0.5117
obstacle_shift,oracle_mujoco_rollout_selector,96,-0.0833,-0.1458,-0.0312,0.0085,-0.0308,-0.0396,-0.0231,0.0005,-0.0328,0.0000,0.0000,0.0000,1.0000
ALL,geometric_greedy,960,0.1802,0.1562,0.2062,0.0005,0.2117,0.2022,0.2215,0.0005,0.0900,-0.3729,-0.4063,-0.3438,0.0005
ALL,nominal_rollout_mpc,960,-0.0260,-0.0427,-0.0104,0.0030,0.0299,0.0227,0.0374,0.0005,-0.0172,-0.1396,-0.1635,-0.1177,0.0005
ALL,robust_worst_case_mpc,960,-0.0042,-0.0094,0.0000,0.2234,-0.0004,-0.0029,0.0020,0.7486,-0.0019,-0.0052,-0.0135,0.0031,0.3473
ALL,cvar_branch_score,960,0.0010,-0.0021,0.0052,1.0000,-0.0012,-0.0028,0.0004,0.1419,-0.0005,0.0021,-0.0011,0.0063,0.6062
ALL,mlp_energy_scorer,960,-0.0240,-0.0365,-0.0115,0.0005,-0.0013,-0.0051,0.0028,0.5612,-0.0127,-0.0333,-0.0469,-0.0219,0.0005
ALL,shielded_mlp_energy_scorer,960,-0.0031,-0.0115,0.0052,0.6467,-0.0019,-0.0045,0.0006,0.1489,-0.0043,-0.0042,-0.0104,0.0010,0.2909
ALL,deep_sets_energy_scorer,960,-0.0437,-0.0583,-0.0292,0.0005,0.0070,0.0014,0.0129,0.0155,-0.0196,-0.0813,-0.1000,-0.0646,0.0005
ALL,set_transformer_energy_scorer_v4,960,-0.0427,-0.0573,-0.0271,0.0005,0.0034,-0.0015,0.0083,0.1929,-0.0187,-0.0677,-0.0854,-0.0521,0.0005
ALL,oracle_mujoco_rollout_selector,960,-0.1615,-0.1833,-0.1396,0.0005,-0.0437,-0.0481,-0.0396,0.0005,-0.0379,0.0240,0.0146,0.0333,0.0005
