seed,episode,split,method,true_mass,true_friction,chosen_action,success,final_distance,violation,effort,energy,oracle_energy,energy_regret,ablation
0,0,nominal,random_candidate,0.1000,0.5000,9,0.0000,0.2219,1.0000,0.4751,0.5362,0.1160,0.4202,False
0,0,nominal,geometric_greedy,0.1000,0.5000,0,0.0000,0.3334,0.0000,0.3637,0.3443,0.1160,0.2283,False
0,0,nominal,nominal_rollout_mpc,0.1000,0.5000,2,0.0000,0.1051,0.0000,0.3637,0.1160,0.1160,0.0000,False
0,0,nominal,robust_worst_case_mpc,0.1000,0.5000,2,0.0000,0.1051,0.0000,0.3637,0.1160,0.1160,0.0000,False
0,0,nominal,mlp_energy_scorer,0.1000,0.5000,2,0.0000,0.1051,0.0000,0.3637,0.1160,0.1160,0.0000,False
0,0,nominal,transformer_energy_scorer,0.1000,0.5000,2,0.0000,0.1051,0.0000,0.3637,0.1160,0.1160,0.0000,False
0,0,nominal,oracle_mujoco_rollout_selector,0.1000,0.5000,2,0.0000,0.1051,0.0000,0.3637,0.1160,0.1160,0.0000,False
0,1,nominal,random_candidate,0.1000,0.8000,6,0.0000,0.1192,1.0000,0.4138,0.4316,0.1661,0.2656,False
0,1,nominal,geometric_greedy,0.1000,0.8000,10,0.0000,0.2308,0.0000,0.4138,0.2432,0.1661,0.0771,False
0,1,nominal,nominal_rollout_mpc,0.1000,0.8000,8,0.0000,0.1537,0.0000,0.4138,0.1661,0.1661,0.0000,False
0,1,nominal,robust_worst_case_mpc,0.1000,0.8000,8,0.0000,0.1537,0.0000,0.4138,0.1661,0.1661,0.0000,False
0,1,nominal,mlp_energy_scorer,0.1000,0.8000,8,0.0000,0.1537,0.0000,0.4138,0.1661,0.1661,0.0000,False
0,1,nominal,transformer_energy_scorer,0.1000,0.8000,8,0.0000,0.1537,0.0000,0.4138,0.1661,0.1661,0.0000,False
0,1,nominal,oracle_mujoco_rollout_selector,0.1000,0.8000,8,0.0000,0.1537,0.0000,0.4138,0.1661,0.1661,0.0000,False
0,2,nominal,random_candidate,0.1000,0.6500,3,0.0000,0.2995,0.0000,0.5024,0.3145,0.1449,0.1697,False
0,2,nominal,geometric_greedy,0.1000,0.6500,2,0.0000,0.2374,0.0000,0.3823,0.2488,0.1449,0.1040,False
0,2,nominal,nominal_rollout_mpc,0.1000,0.6500,4,0.0000,0.1334,0.0000,0.3823,0.1449,0.1449,0.0000,False
